id,iteracion,optimizador,clasificador,accuracy,precision,recall,best_epoch,best_fitness,total_time,features
,6,OriginalArchOA,svm,0.9532054282,0.8757788821,0.8390945189,33,0.8685570361,584.2657082,"Index(['maxX', 'sdX2', 'sdY2', 'minZ2'], dtype='object')"
,7,OriginalArchOA,knn,0.9532054282,0.8729295918,0.860901909,33,0.872452635,232.694638,"Index(['minX', 'meanZ2', 'sdX2', 'corXZ2'], dtype='object')"
,7,OriginalArchOA,svm,0.9494618624,0.845231285,0.8102652278,15,0.8733095457,725.2772505,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,8,OriginalArchOA,knn,0.9461862424,0.8626435398,0.8239919704,19,0.869116756,225.3356388,"Index(['auc', 'meanZ2', 'maxX2'], dtype='object')"
,8,OriginalArchOA,svm,0.9494618624,0.8543399493,0.8284301109,26,0.8704430275,592.4178696,"Index(['maxZ', 'sdY2', 'minX2', 'corXZ2', 'sdMagnitude2'], dtype='object')"
,9,OriginalArchOA,knn,0.9532054282,0.8729295918,0.860901909,29,0.872452635,241.0951788,"Index(['minX', 'meanZ2', 'sdX2', 'corXZ2'], dtype='object')"
,9,OriginalArchOA,svm,0.9499298081,0.8602032407,0.8258894309,17,0.8691815696,614.4103308,"Index(['maxX', 'sdMagnitude', 'maxX2', 'corXZ2'], dtype='object')"
,10,OriginalArchOA,knn,0.9527374825,0.8688792374,0.8552110718,22,0.8717957811,246.5218956,"Index(['minX', 'maxZ2', 'corXZ2', 'sdMagnitude2'], dtype='object')"
,10,OriginalArchOA,svm,0.9321478708,0.791710336,0.765778409,23,0.8712402242,696.8096771,"Index(['sdX2', 'maxY2', 'minX2', 'corXZ2'], dtype='object')"
,11,OriginalArchOA,knn,0.9251286851,0.766291792,0.7479024198,15,0.8688191966,219.5954134,"Index(['sdX2', 'minX2'], dtype='object')"
,11,OriginalArchOA,svm,0.9489939167,0.8561587644,0.8223686225,23,0.8706880176,682.8498755,"Index(['meanZ', 'sdX2', 'minZ2', 'corXZ2'], dtype='object')"
,12,OriginalArchOA,knn,0.9508656996,0.8631041299,0.8374022248,18,0.8670433211,223.9961267,"Index(['maxZ', 'sdMagnitude', 'maxX2'], dtype='object')"
,12,OriginalArchOA,svm,0.951801591,0.8597442234,0.83301514,23,0.87062887,673.1431909,"Index(['minX', 'meanX2', 'sdX2', 'maxY2', 'corXZ2'], dtype='object')"
,13,OriginalArchOA,knn,0.9489939167,0.8703373243,0.8370263011,20,0.8694293187,228.5268846,"Index(['meanZ', 'meanZ2', 'sdX2'], dtype='object')"
,13,OriginalArchOA,svm,0.9546092653,0.8737500756,0.8437731642,23,0.8711657047,615.5228791,"Index(['meanZ', 'sdY2', 'maxZ2', 'corXZ2', 'sdMagnitude2'], dtype='object')"
,14,OriginalArchOA,knn,0.918577445,0.7406990519,0.7227025976,18,0.8714596192,216.795002,"Index(['minX2', 'corXZ2'], dtype='object')"
,14,OriginalArchOA,svm,0.9471221338,0.8509846215,0.8114792982,22,0.8696303114,662.0561063,"Index(['meanZ', 'maxX2', 'minX2', 'corXZ2'], dtype='object')"
,15,OriginalArchOA,knn,0.9527374825,0.8688792374,0.8552110718,22,0.8717957811,225.2276018,"Index(['minX', 'maxZ2', 'corXZ2', 'sdMagnitude2'], dtype='object')"
,15,OriginalArchOA,svm,0.9494618624,0.845231285,0.8102652278,36,0.8733095457,675.833739,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,16,OriginalArchOA,knn,0.918577445,0.7406990519,0.7227025976,13,0.8714596192,197.4694054,"Index(['minX2', 'corXZ2'], dtype='object')"
,16,OriginalArchOA,svm,0.9522695367,0.8686014404,0.8349479392,24,0.8692187922,533.5388324,"Index(['maxX', 'sdY2', 'maxX2', 'corXZ2', 'sdMagnitude2'], dtype='object')"
,17,OriginalArchOA,knn,0.9471221338,0.8569722425,0.8337221786,24,0.870829149,199.7337635,"Index(['meanMagnitude', 'meanX2', 'sdX2'], dtype='object')"
,17,OriginalArchOA,svm,0.9321478708,0.7867540982,0.7620376624,36,0.8719627043,601.2229719,"Index(['sdX2', 'maxY2', 'maxZ2', 'corXZ2'], dtype='object')"
,18,OriginalArchOA,knn,0.9443144595,0.8520839268,0.8286288798,14,0.8676591584,188.5108919,"Index(['minX', 'meanY2', 'maxX2', 'maxY2'], dtype='object')"
,18,OriginalArchOA,svm,0.955077211,0.8768869565,0.8348563433,42,0.8695806235,583.145628,"Index(['maxX', 'meanZ2', 'sdX2', 'corXZ2', 'auc2'], dtype='object')"
,19,OriginalArchOA,knn,0.9513336453,0.8752622192,0.8433128195,12,0.870920789,197.6914933,"Index(['maxZ', 'meanZ2', 'sdX2'], dtype='object')"
,19,OriginalArchOA,svm,0.9443144595,0.8285455507,0.797276587,21,0.8667652471,582.6068342,"Index(['meanZ', 'sdX2', 'minX2'], dtype='object')"
,20,OriginalArchOA,knn,0.9480580253,0.8546768864,0.8295121084,30,0.8729873018,194.4977479,"Index(['minZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,20,OriginalArchOA,svm,0.9489939167,0.8540636855,0.824362657,17,0.8710327033,572.5545776,"Index(['meanZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,21,OriginalArchOA,knn,0.9494618624,0.8717964951,0.8594012203,19,0.8698952061,197.9667439,"Index(['minX', 'meanX2', 'sdX2'], dtype='object')"
,21,OriginalArchOA,svm,0.9321478708,0.791710336,0.765778409,15,0.8712402242,570.176126,"Index(['sdX2', 'maxY2', 'minX2', 'corXZ2'], dtype='object')"
,22,OriginalArchOA,knn,0.9522695367,0.8718156442,0.8647787533,35,0.8708689332,204.9378042,"Index(['minX', 'sdX2', 'maxX2', 'corXZ2'], dtype='object')"
,22,OriginalArchOA,svm,0.9494618624,0.845231285,0.8102652278,16,0.8733095457,620.58605,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,23,OriginalArchOA,knn,0.9508656996,0.865606636,0.8408657555,32,0.8712825955,189.9672821,"Index(['maxX', 'meanZ2', 'sdX2', 'corXZ2'], dtype='object')"
,23,OriginalArchOA,svm,0.9513336453,0.8627320576,0.8349052186,16,0.8718740202,513.6300299,"Index(['maxX', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,24,OriginalArchOA,knn,0.9513336453,0.8752622192,0.8433128195,21,0.870920789,192.0726368,"Index(['maxZ', 'meanZ2', 'sdX2'], dtype='object')"
,24,OriginalArchOA,svm,0.9321478708,0.7867540982,0.7620376624,20,0.8719627043,611.3328512,"Index(['sdX2', 'maxY2', 'maxZ2', 'corXZ2'], dtype='object')"
