combination,meanY,corXY,corXY2,meanMagnitude2,maxY2,corXZ2,maxZ2,sdZ,meanY2,meanMagnitude,meanZ,corYZ2,maxZ,minX2,minZ,meanX,corXZ,sdZ2,auc2,sdX,maxY,maxX2,meanX2,sdMagnitude2,minY2,minZ2,sdY2,meanDif,meanZ2,sdX2,sdMagnitude,corYZ,maxX,auc,sdY,minY,minX,meanDif2,user
OriginalArchOA_svm,3,5,4,0,2,9,0,2,5,0,0,0,4,3,2,1,29,0,0,0,0,3,0,6,3,0,2,0,5,1,3,9,5,2,28,4,3,0,510.0
OriginalDO_knn,3,17,30,7,12,27,2,1,5,6,3,1,3,5,4,2,26,0,13,2,5,12,4,12,3,0,11,4,10,2,8,0,2,6,19,1,2,4,510.0
OriginalDO_svm,1,7,1,0,1,6,0,5,2,0,6,1,2,1,9,1,26,0,0,0,3,3,1,4,1,1,0,0,3,0,3,8,1,0,29,1,3,0,510.0
OriginalGBO_knn,5,6,26,7,9,14,4,3,4,4,4,5,11,4,3,3,12,0,3,2,1,8,3,9,1,2,7,3,7,4,12,1,4,5,16,3,5,10,510.0
OriginalGBO_svm,1,8,4,0,2,12,1,7,5,1,5,1,4,4,1,0,25,0,0,0,3,3,1,1,5,0,0,0,1,2,6,12,2,0,29,3,1,1,510.0
OriginalJA_knn,6,6,26,8,4,8,7,6,6,6,6,1,6,6,4,5,7,0,10,2,5,3,5,11,6,1,6,11,9,6,8,0,3,4,17,9,6,6,510.0
OriginalJA_svm,3,8,4,0,2,4,0,10,5,3,5,1,4,5,3,1,26,0,2,1,1,2,2,7,4,2,0,2,5,1,3,6,1,3,28,4,4,0,510.0
OriginalRUN_knn,3,4,23,2,5,6,2,3,6,3,1,0,6,5,1,0,5,0,5,4,2,6,2,9,3,1,4,6,9,0,7,0,1,1,15,6,6,1,510.0
OriginalRUN_svm,2,6,2,0,0,8,1,4,3,0,12,0,4,1,1,0,30,0,0,0,4,1,0,3,0,2,1,0,2,1,4,8,2,0,29,1,2,0,510.0
OriginalWOA_knn,2,8,21,9,6,4,2,3,4,1,3,1,4,4,1,3,5,1,7,5,2,7,1,7,3,1,3,3,12,8,3,1,5,2,14,2,2,1,510.0
OriginalWOA_svm,0,7,5,0,3,5,0,4,4,0,4,0,3,3,0,0,20,0,0,2,8,5,1,5,1,0,2,0,7,0,2,9,3,1,21,2,3,0,510.0
PPSO_knn,2,9,24,6,2,14,6,0,4,2,1,1,7,2,4,2,15,0,5,2,1,8,3,9,3,2,9,1,7,3,7,0,3,2,15,8,3,2,510.0
PPSO_svm,1,6,3,0,6,0,0,4,2,0,4,1,5,5,4,1,22,0,1,1,1,5,2,5,2,0,1,0,4,0,4,3,1,1,25,1,1,0,510.0
