filter_method,classifier,accuracy,precision,recall,F1,MCC,Balanced_accuracy,total_time,features
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.4114859104156494,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.12169408798217773,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.42227816581726074,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.128462553,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.446857214,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.12008213996887207,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.41779232025146484,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.11734318733215332,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,1.2398521900177002,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.11801791191101074,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.41439080238342285,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.12692022323608398,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.42018723487854004,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.11961054801940918,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.4187197685241699,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.12278246879577637,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.41539883613586426,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.1926126480102539,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.4915201663970947,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
KENDALL,knn,0.941974731,0.852789977,0.832370352,0.8408032663684544,0.8923245300389314,0.832370352,0.2147836685180664,"['minX', 'minY', 'minZ', 'meanX2', 'minX2', 'minY2']"
KENDALL,svm,0.9438465138043987,0.7657542487182185,0.7831385001693052,0.774126036,0.8960688329485713,0.7831385001693052,1.0424137115478516,"['minX', 'minY', 'minZ', 'meanX2', 'minX2', 'minY2']"
KENDALL,knn,0.941974731,0.852789977,0.832370352,0.8408032663684544,0.8923245300389314,0.832370352,0.21326828002929688,"['minX', 'minY', 'minZ', 'meanX2', 'minX2', 'minY2']"
KENDALL,svm,0.9438465138043987,0.7657542487182185,0.7831385001693052,0.774126036,0.8960688329485713,0.7831385001693052,0.9391160011291504,"['minX', 'minY', 'minZ', 'meanX2', 'minX2', 'minY2']"
