user,combination,accuracy,precision,recall,F1,MCC,Balanced_accuracy,sensitivity,specificity,number_features
502,OriginalRUN_knn,0.9464387464387464,0.8064753889278787,0.7612288786482335,0.7739242935730029,0.8435342099681437,0.7612288786482335,0.7612288786482335,0.9590690078353631,4.6
502,OriginalRUN_svm,0.943019943019943,0.8419390018844809,0.7704454685099846,0.7829582615013728,0.8329748011729341,0.7704454685099846,0.7704454685099846,0.9526969696969697,5.166666666666667
502,OriginalWOA_knn,0.9467236467236468,0.8265078737215348,0.7876159754224271,0.80012768803067,0.844702022193588,0.7876159754224271,0.7876159754224271,0.9604326441989993,4.166666666666667
502,OriginalWOA_svm,0.93988603988604,0.7758465223974681,0.7206820276497695,0.7325771815870946,0.8230942718701189,0.7206820276497695,0.7206820276497695,0.9528989898989899,5.066666666666666
502,PPSO_knn,0.9452991452991454,0.8154345587045796,0.7718556067588326,0.7792003938962854,0.8401197470540607,0.7718556067588326,0.7718556067588326,0.9588357243072035,3.8333333333333335
502,PPSO_svm,0.9398860398860399,0.8124087214762259,0.7680133128520226,0.7794344690470536,0.8233651365125119,0.7680133128520226,0.7680133128520226,0.9539853944853945,4.2
504,BaseDE_knn,0.9656565656565657,0.9144445046617717,0.9002432155657962,0.9040641121895044,0.9423770154762514,0.9002432155657962,0.9002432155657962,0.9893476743953369,11.533333333333333
504,BaseDE_svm,0.9781818181818182,0.9442847539181775,0.9308832565284179,0.9342998979208041,0.9634596459556126,0.9308832565284179,0.9308832565284179,0.9936682957203605,10.366666666666667
504,BaseGA_knn,0.9490909090909091,0.8650492139351684,0.8524833589349718,0.8547732825985712,0.9142552429914012,0.8524833589349718,0.8524833589349718,0.983282335886598,4.1
504,BaseGA_svm,0.9741414141414142,0.9359247095732524,0.9259190988223246,0.9283012533589237,0.9566418709510975,0.9259190988223246,0.9259190988223246,0.992005982494269,5.066666666666666
504,OriginalArchOA_knn,0.9565656565656565,0.8928155722618984,0.8641807475678444,0.8720778317401655,0.9268001160517795,0.8641807475678444,0.8641807475678444,0.9857708876189409,4.8
504,OriginalArchOA_svm,0.9707070707070707,0.9246946525395091,0.9099564772145416,0.9144664237383954,0.9507910530190647,0.9099564772145416,0.9099564772145416,0.9909336716578581,4.9
504,OriginalDO_knn,0.9692929292929293,0.9245404305466477,0.9048515104966718,0.9109839187041159,0.9484137486796527,0.9048515104966718,0.9048515104966718,0.9905135612309974,8.2
504,OriginalDO_svm,0.9793939393939394,0.9497449104850343,0.9345391705069125,0.9396761133636385,0.9654183002736294,0.9345391705069125,0.9345391705069125,0.9937388553805887,6.4
504,OriginalGBO_knn,0.9624242424242424,0.9065985807339855,0.8772785458269329,0.88657258477724,0.9367955835507722,0.8772785458269329,0.8772785458269329,0.9877682115161507,6.766666666666667
504,OriginalGBO_svm,0.9757575757575758,0.9348968902380882,0.9236559139784947,0.9268622727587679,0.959333810057956,0.9236559139784947,0.9236559139784947,0.9928396840415059,5.9
504,OriginalJA_knn,0.9638383838383838,0.909297658063622,0.8880107526881721,0.8945128750080502,0.9392325740167482,0.8880107526881721,0.8880107526881721,0.988352846547062,7.733333333333333
504,OriginalJA_svm,0.9719191919191918,0.9279220970733814,0.9023758320532514,0.9110422884082989,0.9528484697855581,0.9023758320532514,0.9023758320532514,0.9914137788844185,6.766666666666667
504,OriginalRUN_knn,0.9581818181818182,0.8941354373278068,0.8863696876600103,0.8873036896032993,0.929760461861613,0.8863696876600103,0.8863696876600103,0.9866635939472859,5.5
504,OriginalRUN_svm,0.9731313131313132,0.9363541228384044,0.9192754736303124,0.9245396274067541,0.9549248879195681,0.9192754736303124,0.9192754736303124,0.9916158991419011,5.033333333333333
